0	0
2	4.95095
4	9.8038
6	14.5586
8	19.2152
10	23.7737
12	28.2342
14	32.5965
16	36.8608
18	41.0269
20	45.095
22	49.0649
24	52.9368
26	56.7105
28	60.3862
30	63.9638
32	67.4432
34	70.8246
36	74.1078
38	77.293
40	80.38
42	83.369
44	86.2598
46	89.0526
48	91.7472
50	94.3438
52	96.8422
54	99.2426
56	101.545
58	103.749
60	105.855
62	107.863
64	109.773
66	111.585
68	113.298
70	114.914
72	116.431
74	117.851
76	119.172
78	120.395
80	121.52
82	122.547
84	123.476
86	124.307
88	125.039
90	125.674
92	126.21
94	126.649
96	126.989
98	127.231
100	127.375
102	127.421
104	127.369
106	127.219
108	126.97
110	126.624
112	126.179
114	125.637
116	124.996
118	124.257
120	123.42
122	122.485
124	121.452
126	120.321
128	119.091
130	117.764
132	116.338
134	114.815
136	113.193
138	111.473
140	109.655
142	107.739
144	105.725
146	103.613
148	101.402
150	99.0938
152	96.6872
154	94.1826
156	91.5798
158	88.879
160	86.08
162	83.183
164	80.1878
166	77.0946
168	73.9032
170	70.6138
172	67.2262
174	63.7406
176	60.1568
178	56.475
180	52.695
182	48.817
184	44.8408
186	40.7666
188	36.5942
190	32.3238
192	27.9552
194	23.4886
196	18.9238
198	14.261
200	9.5
10	0
11.9493	3.95348
13.7994	7.8189
15.5517	11.6061
17.2088	15.3247
18.774	18.9841
20.2516	22.5933
21.647	26.1607
22.966	29.6943
24.2156	33.2014
25.4032	36.6885
26.5369	40.1615
27.6253	43.6252
28.6776	47.0838
29.7031	50.5404
30.7117	53.9972
31.7131	57.4554
32.7175	60.9153
33.7346	64.3759
34.7743	67.8356
35.8462	71.2916
36.9596	74.7403
38.1232	78.177
39.3454	81.5963
40.634	84.992
41.9961	88.357
43.438	91.6838
44.9654	94.964
46.5828	98.1888
48.2942	101.349
50.1024	104.435
52.0093	107.438
54.0159	110.346
56.1221	113.151
58.3268	115.842
60.628	118.41
63.0227	120.845
65.507	123.138
68.076	125.28
70.724	127.263
73.4445	129.08
76.2305	130.723
79.074	132.187
81.9667	133.465
84.8996	134.555
87.8634	135.451
90.8486	136.152
93.8452	136.656
96.8433	136.961
99.8331	137.07
102.805	136.982
105.748	136.7
108.654	136.228
111.514	135.569
114.318	134.729
117.06	133.714
119.731	132.53
122.325	131.184
124.837	129.685
127.259	128.042
129.59	126.262
131.825	124.357
133.962	122.334
135.999	120.205
137.937	117.979
139.776	115.666
141.517	113.275
143.163	110.818
144.718	108.302
146.186	105.737
147.572	103.131
148.883	100.492
150.125	97.8278
151.305	95.1441
152.433	92.4468
153.517	89.7408
154.566	87.0301
155.589	84.3177
156.596	81.6057
157.598	78.8952
158.603	76.1862
159.622	73.4779
160.665	70.7684
161.741	68.0549
162.86	65.3334
164.03	62.5995
165.259	59.8475
166.556	57.071
167.927	54.2631
169.379	51.416
170.916	48.5213
172.545	45.5702
174.267	42.5534
176.087	39.4615
178.005	36.2846
180.023	33.0127
182.141	29.636
184.357	26.1444
186.669	22.5284
189.074	18.7784
191.569	14.8853
0	10
2.9967	14.9011
5.98346	19.605
8.95045	24.113
11.888	28.4277
14.7867	32.5526
17.6377	36.4918
20.4325	40.2506
23.1631	43.8351
25.8223	47.252
28.4034	50.5087
30.9007	53.6135
33.3092	56.5748
35.6248	59.4019
37.8445	62.1041
39.9659	64.6911
41.988	67.1729
43.9104	69.5593
45.7339	71.8603
47.4604	74.0858
49.0924	76.2452
50.6338	78.3478
52.0891	80.4025
53.4637	82.4176
54.7638	84.4009
55.9964	86.3595
57.1693	88.2996
58.2906	90.227
59.369	92.1462
60.4139	94.0613
61.4347	95.9749
62.4412	97.889
63.4432	99.8047
64.4509	101.722
65.474	103.639
66.5222	105.555
67.6052	107.466
68.732	109.368
69.9114	111.257
71.1515	113.128
72.4599	114.972
73.8435	116.784
75.3085	118.555
76.8602	120.277
78.5031	121.942
80.2406	123.539
82.0756	125.06
84.0095	126.494
86.0431	127.832
88.176	129.063
90.4069	130.178
92.7335	131.167
95.1525	132.02
97.6598	132.729
100.25	133.285
102.918	133.681
105.656	133.907
108.458	133.959
111.315	133.829
114.219	133.514
117.16	133.008
120.13	132.308
123.118	131.413
126.116	130.32
129.112	129.029
132.097	127.541
135.061	125.858
137.994	123.981
140.888	121.916
143.733	119.665
146.521	117.234
149.243	114.63
151.894	111.859
154.465	108.929
156.953	105.847
159.351	102.624
161.655	99.267
163.864	95.7864
165.974	92.1918
167.984	88.4931
169.895	84.7001
171.707	80.823
173.423	76.8714
175.044	72.8548
176.575	68.7825
178.021	64.6633
179.386	60.5054
180.678	56.3165
181.904	52.1036
183.07	47.8731
184.186	43.6304
185.26	39.38
186.302	35.1258
187.32	30.8705
188.326	26.6158
189.328	22.3627
190.337	18.1109
191.362	13.8593
192.414	9.60576
193.502	5.34712
194.634	1.07938
